id,Isolate,Species,Cohort,Region,Country,Year,Description,sample_accession_number,Classification,Cluster,sul2,aph(3'')-Ib,aph(6)-Id,tet(B),catA2,aph(6)-Id*,aph(3'')-Ib*,blaBRO-1,blaBRO-2,blaBRO-1*,blaBRO-1^,blaBRO-2*,AG261,AB778,AC411
47195_1#281_fa,MCAT5105UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2011,Single isolate,ERS14747915,Serosensitive,Serosensitive_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#376_fa,PCV-C-1495-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036125,Seroresistant,Seroresistant_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#55_fa,MCAT13187SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308207,Seroresistant,Seroresistant_77,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#308_fa,MCAT4110UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747813,Seroresistant,Seroresistant_22,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#44_fa,PCV-C-1756-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036446,Seroresistant,Seroresistant_40,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#352_fa,MCAT14180SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308237,Serosensitive,Serosensitive_88,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#339_fa,MCAT5258UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2011,Single isolate,ERS14747945,Seroresistant,Seroresistant_65,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#220_fa,MCAT14394SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308299,Seroresistant,Seroresistant_34,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#176_fa,MCAT4360UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747879,Serosensitive,Serosensitive_12,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#4_fa,PCV-C-0549-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036378,Seroresistant,Seroresistant_113,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#168_fa,MCAT4348UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747875,Seroresistant,Seroresistant_247,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#277_fa,MCAT5100UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2011,Single isolate,ERS14747912,Seroresistant,Seroresistant_241,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent,Absent
46321_2#135_fa,PCV-C-0591-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036258,Seroresistant,Seroresistant_11,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#131_fa,MCAT3218UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2009,Single isolate,ERS14747758,Serosensitive,Serosensitive_42,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#43_fa,MCAT3076UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2009,Single isolate,ERS14747747,Seroresistant,Seroresistant_10,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent
46321_2#288_fa,PCV-C-0837-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036036,Seroresistant,Seroresistant_188,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#80_fa,PCV-C-0588-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036391,Seroresistant,Seroresistant_70,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#50_fa,PCV-C-1197-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035799,Seroresistant,Seroresistant_141,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#248_fa,MCAT14418SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308306,Seroresistant,Seroresistant_11,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#178_fa,MCAT14365SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308286,Seroresistant,Seroresistant_3,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#105_fa,MCAT3182UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2009,Single isolate,ERS14747754,Seroresistant,Seroresistant_18,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#235_fa,MCAT13003SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308072,Seroresistant,Seroresistant_77,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#219_fa,MCAT13381SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308135,Seroresistant,Seroresistant_60,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#183_fa,MCAT13335SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308125,Seroresistant,Seroresistant_6,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#27_fa,MCAT13168SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308201,Seroresistant,Seroresistant_18,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#1_fa,MCAT3001UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2009,Single isolate,ERS14747727,Seroresistant,Seroresistant_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent
46472_2#251_fa,10B02483_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2010,Single isolate,ERS12035631,Unclustered,Unclustered,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#125_fa,MCAT13281SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308111,Seroresistant,Seroresistant_31,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#306_fa,MCAT14140SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308220,Serosensitive,Serosensitive_2,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent
47195_1#17_fa,MCAT5260UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2011,Single isolate,ERS14747947,Seroresistant,Seroresistant_20,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#309_fa,MCAT5184UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2011,Single isolate,ERS14747930,Serosensitive,Serosensitive_2,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46472_2#311_fa,PCV-C-1467-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035687,Seroresistant,Seroresistant_4,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46358_2#384_fa,09B10488_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2009,Single isolate,ERS13570295,Seroresistant,Seroresistant_135,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46872_1#5_fa,MCAT13211SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308090,Seroresistant,Seroresistant_88,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#134_fa,MCAT4314UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747864,Seroresistant,Seroresistant_170,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46358_2#336_fa,PCV-C-1377-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036421,Seroresistant,Seroresistant_12,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#159_fa,PCV-C-0629-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035885,Seroresistant,Seroresistant_40,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#321_fa,MCAT13114SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308185,Seroresistant,Seroresistant_51,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#301_fa,MCAT14094SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308212,Serosensitive,Serosensitive_2,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46358_2#141_fa,PCV-C-0955-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036164,Seroresistant,Seroresistant_17,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#233_fa,MCAT4031UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747787,Seroresistant,Seroresistant_10,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent
46472_2#344_fa,PCV-C-1056-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035851,Seroresistant,Seroresistant_15,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#304_fa,MCAT14115SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308217,Serosensitive,Serosensitive_18,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46358_2#33_fa,PCV-C-0648-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036079,Seroresistant,Seroresistant_188,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#330_fa,PCV-C-1252-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12119088,Serosensitive,Serosensitive_110,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#237_fa,MCAT13007SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308073,Seroresistant,Seroresistant_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#353_fa,MCAT14182SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308236,Seroresistant,Seroresistant_34,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46472_2#209_fa,09B11013_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2009,Single isolate,ERS12035609,Serosensitive,Serosensitive_30,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent
47195_1#69_fa,MCAT3107UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2009,Single isolate,ERS14747712,Serosensitive,Serosensitive_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#71_fa,PCV-C-0105-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036237,Seroresistant,Seroresistant_147,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#84_fa,PCV-C-0875-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035917,Serosensitive,Serosensitive_115,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#187_fa,MCAT13346SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308126,Seroresistant,Seroresistant_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#247_fa,PCV-C-0905-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035685,Seroresistant,Seroresistant_8,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46472_2#159_fa,08B06773_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2008,Single isolate,ERS12035594,Seroresistant,Seroresistant_179,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#281_fa,PCV-C-1529-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035920,Seroresistant,Seroresistant_8,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#146_fa,MCAT14343SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308278,Serosensitive,Serosensitive_5,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#164_fa,MCAT4339UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747871,Seroresistant,Seroresistant_14,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#191_fa,09B13637_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2009,Single isolate,ERS12035681,Seroresistant,Seroresistant_307,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent
46321_1#294_fa,08B07453_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2008,Single isolate,ERS12035539,Serosensitive,Serosensitive_123,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#221_fa,09B04206_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2009,Single isolate,ERS12035557,Seroresistant,Seroresistant_197,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent,Absent
46472_2#273_fa,09B06007_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2009,Single isolate,ERS12035643,Seroresistant,Seroresistant_62,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#262_fa,MCAT4078UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747797,Seroresistant,Seroresistant_22,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#107_fa,PCV-C-1774-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036251,Seroresistant,Seroresistant_4,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
