Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# Ns per 100 kbp
SAMEA4622191.assembly	59	20	14	13	10	8	1917474	1902388	1888061	1882342	1838809	1761103	31	465574	1910779	41.64	231608	166382	3	6	0.00
SAMEA4622166.assembly	24	18	13	11	11	9	1948225	1945877	1929371	1915008	1915008	1860374	20	454354	1947228	41.48	354800	187147	3	5	0.00
SAMEA4621820.assembly	19	11	6	5	5	5	1851942	1850372	1838025	1832392	1832392	1832392	11	654020	1850372	41.56	464460	356729	2	3	0.00
SAMEA4621403.assembly	36	19	9	7	7	6	1933510	1928446	1906124	1892427	1892427	1856845	21	687500	1930147	41.43	465479	346325	2	3	0.00
SAMEA4622366.assembly	32	16	11	9	8	7	1897639	1890858	1878577	1865054	1846674	1807971	22	438797	1895206	41.46	331658	324162	3	4	0.00
SAMEA4620439.assembly	33	19	8	6	6	6	1878293	1873564	1851397	1838040	1838040	1838040	23	460636	1876345	41.63	346276	332855	3	4	0.00
SAMEA4621855.assembly	33	18	8	7	7	6	1892467	1887764	1863999	1858498	1858498	1822840	20	657864	1889443	41.50	462435	347452	2	3	0.00
SAMEA4620449.assembly	31	19	14	12	9	6	2006364	2001222	1988678	1977812	1920933	1811031	25	806908	2005039	41.45	313093	233013	2	4	0.00
SAMEA4622214.assembly	30	18	12	11	10	9	1915182	1910513	1891309	1885576	1875439	1841359	21	463746	1912825	41.38	227823	139908	4	6	0.00
SAMEA4620480.assembly	34	18	12	10	9	9	1984285	1979231	1962540	1949227	1932567	1932567	21	470066	1981493	41.45	348823	161267	3	5	0.00
SAMEA4622172.assembly	32	15	10	9	6	6	1881948	1875767	1869298	1863663	1807088	1807088	18	653261	1878274	41.51	457067	229826	2	4	0.00
SAMEA4621864.assembly	16	10	6	5	5	5	1861998	1859124	1845813	1840065	1840065	1840065	12	666814	1860830	41.64	468815	348060	2	3	0.00
SAMEA4620910.assembly	29	13	8	7	6	6	1897414	1893467	1879404	1873670	1850749	1850749	14	687946	1894026	41.52	403741	348171	2	3	0.00
SAMEA4621755.assembly	25	15	11	9	8	8	1937242	1933402	1920356	1905466	1893539	1893539	18	478048	1935582	41.46	229300	214936	3	5	0.00
SAMEA4621283.assembly	50	30	16	15	14	11	2012171	2002853	1973913	1968484	1943820	1845938	37	308605	2008657	41.44	219221	128875	4	8	0.00
SAMEA4620496.assembly	29	16	10	9	8	8	1881183	1876787	1861095	1855361	1835006	1835006	19	447854	1878700	41.60	348242	228012	3	4	0.00
SAMEA4621842.assembly	39	20	8	7	7	6	1932712	1927338	1899598	1891634	1891634	1856052	22	686835	1929039	41.43	465254	346390	2	3	0.00
SAMEA4621879.assembly	40	10	10	9	8	8	1883506	1875425	1875425	1869692	1856101	1856101	12	658881	1876513	41.63	347106	197172	2	4	0.00
SAMEA4620454.assembly	33	21	13	11	10	9	2064579	2061190	2037153	2024688	2000706	1958825	22	630306	2061818	41.48	470879	171188	2	4	0.00
SAMEA4620424.assembly	18	11	9	8	8	8	1911626	1909049	1904222	1898489	1898489	1898489	14	487180	1911001	41.47	228068	209754	3	5	0.00
SAMEA4622205.assembly	38	14	9	8	7	7	1864894	1856386	1846072	1840339	1823952	1823952	18	648457	1860165	41.66	443703	209833	2	4	0.00
SAMEA4622356.assembly	20	14	9	8	7	7	1889260	1887728	1871029	1865312	1840835	1840835	14	459895	1887728	41.61	354290	243437	3	4	0.00
SAMEA4621846.assembly	18	14	10	9	8	8	1830752	1829392	1813638	1807921	1797541	1797541	14	462931	1829392	41.67	243575	210820	3	5	0.00
SAMEA4620905.assembly	18	11	6	5	5	5	1851938	1850468	1838021	1832388	1832388	1832388	11	654022	1850468	41.56	464427	356746	2	3	0.00
SAMEA4622384.assembly	32	17	9	8	7	7	1919740	1914834	1895621	1889888	1877607	1877607	20	643396	1916768	41.50	457961	228090	2	4	0.00
SAMEA4620662.assembly	15	9	8	7	7	7	1912086	1910063	1908745	1903012	1903012	1903012	11	487142	1911461	41.47	322129	209741	3	5	0.00
SAMEA4622350.assembly	31	16	11	9	8	7	1876475	1871236	1858072	1846336	1821851	1794337	20	424661	1874145	41.57	349608	227864	3	4	0.00
SAMEA4620426.assembly	28	14	7	6	6	6	1898954	1892280	1870466	1864734	1864734	1864734	19	463125	1896303	41.63	355233	238976	3	4	0.00
SAMEA4620909.assembly	9	8	7	6	6	4	1827561	1827279	1826052	1820319	1820319	1766857	8	1062348	1827279	41.70	1062348	348456	1	2	0.00
SAMEA4622397.assembly	15	10	6	5	5	5	1829737	1827572	1820977	1815243	1815243	1815243	12	667452	1829146	41.63	456340	348561	2	3	0.00
SAMEA4621916.assembly	19	13	8	7	5	5	1856833	1854980	1842177	1836456	1802009	1802009	14	671057	1855559	41.73	427195	348639	2	3	0.00
SAMEA4621915.assembly	41	22	16	14	12	9	2105196	2095623	2082158	2070033	2026239	1912660	34	546099	2103769	41.28	284580	231616	3	5	0.00
SAMEA4620367.assembly	24	15	10	10	8	6	1941470	1938464	1928410	1928410	1894941	1804259	16	848879	1939298	41.48	361308	204912	2	4	0.00
SAMEA4621856.assembly	33	21	12	10	7	7	1894818	1891663	1871421	1856652	1792346	1792346	22	440501	1892366	41.56	278260	230343	3	5	0.00
SAMEA4621885.assembly	44	20	13	12	11	9	1913347	1906718	1890940	1885207	1874905	1796922	23	464041	1908843	41.48	243635	167537	3	5	0.00
SAMEA4622215.assembly	35	17	10	8	7	7	1923437	1917902	1900803	1886244	1874260	1874260	19	451733	1919431	41.52	335684	193484	3	5	0.00
SAMEA4620721.assembly	43	21	11	8	8	8	1925068	1915842	1889652	1872560	1872560	1872560	29	475970	1921559	41.52	231989	207834	3	5	0.00
SAMEA4621003.assembly	28	16	9	8	8	6	2005413	2000950	1980503	1973050	1973050	1886782	20	843459	2003556	41.46	324169	221107	2	4	0.00
SAMEA4621714.assembly	37	17	9	8	7	7	1928283	1920174	1898782	1893049	1877524	1877524	22	481509	1924013	41.47	348457	228076	3	4	0.00
SAMEA4621936.assembly	30	14	9	6	6	5	1900048	1893011	1880672	1863909	1863909	1828316	20	655883	1897578	41.52	454753	350133	2	3	0.00
SAMEA4620939.assembly	16	13	6	5	5	5	1886053	1884903	1865495	1859763	1859763	1859763	14	691604	1885605	41.64	461819	352985	2	3	0.00
SAMEA4620908.assembly	65	26	13	9	6	6	1897560	1887080	1857324	1823298	1766660	1766660	30	652095	1890260	41.46	422036	168948	2	4	0.00
SAMEA5130763.assembly	35	18	9	6	6	5	2001402	1994463	1974239	1955682	1955682	1915980	25	723278	1999074	41.22	471484	357619	2	3	0.00
SAMEA4622378.assembly	44	21	13	9	6	6	1905858	1896226	1876177	1844999	1792883	1792883	28	655718	1901566	41.47	459621	219936	2	4	0.00
SAMEA4621775.assembly	32	17	10	9	8	8	1872728	1867111	1849650	1843917	1833572	1833572	20	464662	1869102	41.59	243559	158363	3	5	0.00
SAMEA4621924.assembly	27	16	12	10	10	9	1926513	1922407	1909361	1894570	1894570	1868762	19	369901	1924587	41.48	214937	188774	4	6	0.00
SAMEA4621919.assembly	36	19	9	7	7	6	1933672	1928608	1906286	1892589	1892589	1857007	21	687391	1930309	41.43	465701	346326	2	3	0.00
SAMEA4620665.assembly	32	21	13	10	9	7	1938008	1933940	1918315	1895794	1879400	1802625	24	651978	1936061	41.43	475337	216437	2	4	0.00
SAMEA4622376.assembly	49	21	14	11	11	10	2002114	1991439	1970931	1952161	1952161	1912214	28	453722	1996827	41.53	219020	177750	3	6	0.00
SAMEA4621903.assembly	20	14	8	7	6	6	1937334	1935131	1920686	1914953	1898530	1898530	16	743433	1936536	41.44	462246	276682	2	3	0.00
SAMEA4620996.assembly	31	19	12	9	7	6	1915835	1911902	1893335	1871170	1822158	1795344	23	659596	1914368	41.45	431959	354996	2	3	0.00
SAMEA4620926.assembly	19	14	6	5	5	5	1876893	1874891	1850723	1844990	1844990	1844990	16	692377	1876454	41.69	461934	346366	2	3	0.00
SAMEA4621834.assembly	38	20	10	9	8	7	1892534	1887020	1860881	1855380	1830946	1795287	22	438967	1888699	41.51	347452	229026	3	4	0.00
SAMEA4621906.assembly	25	13	8	7	7	7	1888503	1884813	1868731	1862997	1862997	1862997	15	470065	1886271	41.56	348144	228010	3	4	0.00
SAMEA4620931.assembly	59	33	22	17	12	9	2021503	2012199	1989567	1958685	1882095	1769666	40	306048	2017563	41.37	187621	154880	4	7	0.00
SAMEA5130760.assembly	19	11	6	5	5	5	1851946	1850376	1838028	1832395	1832395	1832395	11	654020	1850376	41.56	464463	356729	2	3	0.00
SAMEA5130863.assembly	29	16	8	5	5	5	1926815	1923024	1906584	1882645	1882645	1882645	18	729048	1924274	41.61	459554	346195	2	3	0.00
SAMEA4620429.assembly	30	19	12	11	9	8	1956929	1952442	1939444	1934015	1897477	1850730	23	347419	1955588	41.51	222193	171955	4	6	0.00
SAMEA4621397.assembly	36	17	9	6	6	5	1936699	1929172	1909658	1888912	1888912	1849088	23	656506	1933412	41.41	471140	357700	2	3	0.00
SAMEA5130834.assembly	26	19	9	8	7	7	1917826	1915239	1891980	1886259	1868279	1868279	21	470839	1916425	41.65	348678	220834	3	4	0.00
SAMEA4621941.assembly	13	11	5	5	5	5	1838472	1838053	1819655	1819655	1819655	1819655	11	644400	1838053	41.68	469044	348708	2	3	0.00
SAMEA5130741.assembly	47	23	17	16	12	8	1976771	1967361	1957519	1952246	1879310	1728846	28	522778	1971587	41.43	249509	105865	3	6	0.00
SAMEA4622303.assembly	22	14	11	10	8	8	1869410	1866325	1856665	1850932	1815508	1815508	17	455910	1867969	41.60	346448	227629	3	4	0.00
SAMEA4621905.assembly	44	25	12	9	8	7	1941329	1932077	1906498	1884998	1867249	1837192	35	666131	1938520	41.49	365141	212751	2	4	0.00
SAMEA4620920.assembly	33	15	12	10	9	8	2001663	1995537	1987559	1975045	1957219	1910456	18	433168	1998006	41.33	310185	207571	3	5	0.00
SAMEA4621000.assembly	37	17	10	7	6	6	1925678	1918784	1904127	1880189	1869114	1869114	22	648943	1922084	41.61	459494	346183	2	3	0.00
SAMEA4621891.assembly	38	22	11	8	8	7	1903474	1897835	1872024	1852191	1852191	1827061	26	455819	1900789	41.49	354872	229303	3	4	0.00
SAMEA4621060.assembly	25	15	11	9	8	8	1937802	1933962	1920916	1906013	1881433	1881433	18	453590	1936142	41.46	229300	214936	3	5	0.00
SAMEA4621951.assembly	22	13	10	8	8	7	1868418	1864553	1858790	1846687	1846687	1820800	17	439946	1867486	41.72	347917	267087	3	4	0.00
SAMEA4621359.assembly	48	23	16	13	12	11	1860103	1851213	1830716	1813354	1789234	1754655	27	345925	1854420	41.61	157051	117246	4	8	0.00
SAMEA4621961.assembly	28	17	13	10	9	9	1948117	1943672	1931144	1912466	1896153	1896153	20	466745	1946090	41.46	276161	190234	3	5	0.00
