Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# Ns per 100 kbp
46371_1#120	45	19	15	14	13	13	4943996	4935734	4930391	4924953	4912416	4912416	27	1283909	4941024	55.04	724398	502961	3	5	0.00
46371_1#125	35	20	15	15	13	11	1814860	1809175	1799094	1799094	1764770	1708416	24	526016	1812163	37.98	140558	111332	4	7	0.00
46371_1#12	198	99	65	54	46	33	5920069	5889182	5817034	5741402	5634098	5180214	113	630478	5899500	39.72	166560	96894	11	22	0.00
46371_1#112	514	337	208	168	121	55	8745680	8670394	8353794	8070707	7279052	4859553	410	382951	8722605	35.60	56014	34024	46	96	0.00
46371_1#115	173	78	54	49	42	31	4151890	4123566	4069823	4039137	3931461	3513915	96	226690	4134937	40.41	107056	71702	14	25	0.00
46371_1#100	268	181	110	94	70	49	9448155	9421709	9276944	9165755	8734810	7910429	195	611529	9432459	47.31	140082	79417	16	37	0.00
46371_1#169	307	156	116	95	65	35	6875529	6833877	6731450	6575863	6053359	5009044	179	462579	6849632	37.23	115750	45572	16	38	0.00
46371_1#174	304	179	97	74	50	27	4198180	4123550	3946563	3770956	3393724	2591572	262	285692	4187870	39.80	61237	32660	19	41	0.00
46321_1#312	28	20	7	5	5	5	1872518	1870041	1843179	1831662	1831662	1831662	21	680493	1870843	41.64	455026	346104	2	3	0.00
46371_1#103	31	16	9	8	8	7	1903443	1897688	1878105	1872372	1872372	1836873	21	461994	1900992	41.57	354598	229093	3	4	0.00
46371_1#207	3095	1225	501	282	89	36	12316629	11699658	9974960	8406658	5422607	3629100	1596	437422	11961153	33.36	20937	8080	114	345	0.00
46371_1#173	1516	885	369	219	93	50	12242244	11974149	10729630	9638903	7655928	6128774	1129	402885	12159079	35.30	50181	13367	50	174	0.00
46371_1#195	2016	485	102	39	5	0	2465683	1904386	1049024	615433	139813	0	835	31774	2143397	39.40	4725	2067	107	278	0.00
46371_1#160	447	199	111	86	50	17	4205474	4133527	3914838	3749924	3176071	2082312	233	361297	4156765	40.40	51193	25574	17	48	0.00
46371_1#159	1886	661	317	181	78	39	9030319	8642351	7823135	6846311	5300148	3952516	888	363454	8806727	37.43	39751	11541	50	159	0.00
46371_1#197	311	184	111	76	45	27	3945964	3907047	3724787	3482430	2972158	2368425	210	298850	3924301	41.14	61469	25554	20	44	0.00
46371_1#187	11889	1204	224	127	57	22	11479917	8403971	6530416	5853627	4795840	3599906	2739	471385	9470073	31.89	27601	2928	55	379	0.00
46371_1#158	156	55	38	34	27	17	3835777	3806068	3767415	3735075	3630067	3278852	74	448994	3819054	39.75	200163	101670	6	13	0.00
46371_1#141	42	17	12	10	9	8	1944983	1936073	1924080	1912575	1899674	1866073	22	456143	1939889	41.51	349805	167865	3	5	0.00
46321_1#179	64	27	21	19	15	13	2469639	2461067	2448255	2432801	2354811	2267363	29	487004	2462248	31.95	210451	103841	4	9	0.00
46371_1#200	62	30	26	22	19	12	2121046	2111731	2100395	2069571	2015155	1780811	35	420101	2115087	39.46	159914	74860	5	9	0.00
46371_1#162	230	98	76	69	46	32	5748397	5715403	5664862	5613472	5250188	4735628	113	448399	5725539	40.72	190955	60976	10	25	0.00
46371_1#1	122	53	43	38	31	13	2224464	2203388	2179708	2140678	2018621	1363502	69	269299	2213648	39.43	69642	38744	9	20	0.00
46371_1#15	191	103	70	60	42	30	5914437	5884901	5810861	5746416	5405996	4946097	123	551638	5899471	39.71	210013	67625	9	21	0.00
46371_1#156	2682	1307	537	316	124	48	14157298	13618853	11759855	10219420	7211802	4497251	1804	238268	13954175	40.69	27913	8646	115	343	0.00
46371_1#13	714	538	248	132	56	19	5881621	5828089	5046291	4216981	3065037	1769848	573	174267	5853260	37.84	26869	8523	51	151	0.00
46371_1#210	179	87	72	61	45	28	3864037	3838782	3795486	3709491	3453045	2860198	102	496449	3849420	38.73	82166	49948	13	29	0.00
46371_1#146	1720	979	195	92	45	25	7195184	6775884	5112295	4414096	3660653	2958764	1442	305859	7134644	40.03	27562	4148	42	248	0.00
46371_1#168	329	250	184	155	105	57	14648740	14613260	14440447	14226576	13402893	11692064	281	1009308	14636950	37.64	239335	74274	17	46	0.00
46371_1#149	145	90	56	49	38	30	6012031	5991078	5914164	5856320	5668362	5385596	107	729360	6002921	36.56	214968	111621	8	18	0.00
46321_1#252	23	14	8	7	7	7	1930546	1926968	1915875	1910244	1910244	1910244	17	452835	1929031	41.48	348785	239822	3	4	0.00
46371_1#110	408	181	144	122	92	57	9582872	9514261	9433093	9257085	8768417	7529073	222	421597	9542963	40.26	123537	55021	21	50	0.00
46371_1#145	115	86	63	55	42	27	4626776	4615980	4553594	4496744	4299394	3794610	94	413005	4621746	40.06	134129	76951	11	22	0.00
46371_1#183	3238	847	194	120	77	47	10730109	9963936	8539705	8055452	7370861	6354873	1331	340518	10304601	45.91	89868	15726	30	95	0.00
46371_1#217	91	36	31	28	24	16	2065782	2050615	2037715	2018201	1943515	1642654	41	248459	2053883	39.49	89872	53886	7	14	0.00
46371_1#111	102	73	52	43	32	27	3236061	3227645	3169246	3101153	2921879	2757401	77	186645	3230379	35.48	99737	64598	12	22	0.00
46371_1#144	238	116	81	65	35	13	2378869	2346403	2260947	2137427	1662254	858468	133	121221	2358235	39.56	39233	21363	21	40	0.00
46371_1#193	726	221	85	65	44	31	5544144	5388015	5040080	4903810	4528824	4044806	319	525835	5459012	40.49	107397	45279	15	33	0.00
46371_1#124	2183	1177	258	150	66	29	8286437	7659527	5716596	4995106	3641553	2330099	1890	155055	8217970	40.32	19125	3691	88	363	0.00
46371_1#185	105	58	50	44	35	21	4066330	4055258	4039129	3999018	3825183	3333598	63	614785	4058295	40.51	142741	72521	7	16	0.00
46371_1#150	304	138	100	92	56	29	5788525	5739420	5643074	5585565	4957848	3940060	165	409281	5758000	39.71	102169	41594	13	38	0.00
46321_1#313	56	21	13	11	10	9	1966251	1954310	1936205	1924676	1910091	1869307	29	467002	1960008	41.49	210863	167372	3	6	0.00
46371_1#213	194	140	107	91	64	46	7408258	7392043	7313363	7192554	6688960	6066481	151	627915	7400271	37.03	132194	60702	17	37	0.00
46371_1#167	163	103	71	61	39	26	3998462	3976855	3895685	3821011	3460809	2947951	121	387425	3989641	40.54	93450	48830	12	27	0.00
46371_1#222	90	36	28	25	23	15	3843807	3828685	3812746	3789055	3746662	3468804	43	989044	3833361	38.82	301493	117735	4	9	0.00
46371_1#172	247	108	79	65	41	20	4259215	4214413	4129381	4027177	3600043	2880791	135	792801	4234269	40.47	100994	37224	9	27	0.00
46371_1#137	159	75	55	47	31	24	4071035	4044851	4001371	3944336	3650626	3422261	88	532956	4054482	40.57	144185	60397	7	17	0.00
46371_1#184	1112	676	408	294	158	77	17002455	16834330	16160598	15331007	13053341	10132790	818	600953	16941261	34.60	74632	28567	51	146	0.00
46371_1#17	2788	1119	348	158	31	7	6881648	6348935	4541582	3192354	1329190	550397	1499	139866	6625692	39.68	9527	3762	171	446	0.00
46371_1#192	285	225	115	58	34	20	4764183	4743966	4471862	4066517	3708896	3215895	239	993000	4754245	39.38	117664	32949	9	30	0.00
46371_1#105	3264	1167	238	117	65	39	11442595	10501803	8641195	7831652	7038820	6118561	2030	664187	11152401	35.02	65855	6155	30	189	0.00
46371_1#182	481	239	140	104	51	20	4114027	4006951	3781763	3516743	2615372	1494758	349	115731	4083510	38.67	38537	18973	33	72	0.00
46321_1#318	40	21	14	13	12	9	1771131	1766071	1755301	1749483	1725632	1608776	23	545005	1767750	37.84	250212	114058	3	5	0.00
46371_1#136	823	502	369	324	205	111	18638081	18548838	18221479	17914651	15910797	12528321	555	535128	18585320	50.06	82261	40603	61	143	0.00
46371_1#19	7773	1943	286	148	31	7	8761248	6918448	3959003	2981137	1203099	415933	3081	71401	7724633	38.14	5492	1537	268	1026	0.00
46371_1#2	1233	716	216	118	45	27	7133044	6825342	5697785	5021948	3963348	3367691	1065	397554	7099271	40.11	37568	7307	32	155	0.00
46371_1#179	6131	378	74	46	28	18	4792280	3065656	2506504	2317716	2024829	1691902	1247	238569	3657645	40.36	33810	2363	22	144	0.00
46371_1#147	119	76	56	46	32	24	4259216	4250246	4201835	4133965	3912111	3627253	79	668322	4252356	40.23	142743	68285	7	17	0.00
46371_1#128	234	112	85	73	37	12	2910755	2882636	2810026	2724076	2123705	1216729	123	291476	2891060	39.99	45151	24078	17	39	0.00
46371_1#180	40	26	14	12	10	8	1792030	1785862	1762556	1748892	1724418	1656754	32	548117	1789727	37.87	364265	110618	2	5	0.00
46371_1#122	422	261	182	147	101	57	9977017	9909007	9718271	9467333	8711825	7157114	325	361548	9955899	40.24	102826	45124	27	64	0.00
46371_1#238	197	101	82	75	57	37	4904138	4877227	4828897	4783763	4491912	3747278	117	288332	4888143	35.69	88512	52202	18	36	0.00
46371_1#194	470	382	227	176	101	51	10004490	9977754	9597482	9240323	8000660	6107081	398	466833	9988709	39.11	72664	33840	33	84	0.00
46321_1#114	1111	633	248	131	26	5	4513601	4219147	3388584	2575933	1003758	287408	975	65089	4482893	39.68	12137	5129	101	243	0.00
46371_1#11	8386	1814	297	147	52	18	9898490	8043412	5097498	4052714	2638380	1459437	2727	194713	8658153	38.75	8062	2212	179	744	0.00
46371_1#109	112	63	45	38	32	22	4169361	4151819	4108280	4054743	3966459	3624476	76	551578	4160639	39.59	174233	69961	6	14	0.00
46371_1#212	2685	1465	687	410	153	47	15853475	15450016	13542644	11607000	7392139	3787385	1757	188521	15654435	36.74	23416	9509	172	424	0.00
46371_1#175	155	80	60	58	46	26	4708891	4689544	4641539	4624688	4415958	3628280	88	605482	4695231	34.81	114652	55043	11	25	0.00
