filename	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
04ae7b_contigs.fa	1918299	10	191829.90	834513	738	94	3	353347	2	297849	3	133914	5
04c2dc_contigs.fa	1897006	11	172455.09	457353	2694	143	2	348183	3	327072	4	220055	5
04d887_contigs.fa	1765969	18	98109.39	544472	394	772	3	365822	2	136979	4	84042	7
04dbe2_contigs.fa	1817465	16	113591.56	472581	784	404	5	245970	3	141720	5	70044	8
04f656_contigs.fa	1873888	4	468472.00	1146085	138264	484	4	1146085	1	363810	2	225729	3
051ac2_contigs.fa	1870317	7	267188.14	1065963	932	71	1	1065963	1	406477	2	122486	4
05aa7c_contigs.fa	1845764	9	205084.89	881493	824	0	0	356714	2	229964	3	208872	4
05add1_contigs.fa	1872443	13	144034.08	622830	420	0	0	420999	2	337559	3	123059	6
0619df_contigs.fa	1881484	11	171044.00	681061	2399	126	2	460024	2	352738	3	211298	4
06795b_contigs.fa	1841546	6	306924.33	1272913	808	0	0	1272913	1	309755	2	184793	3
06e457_contigs.fa	10129084	8917	1135.93	79473	126	8373	204	3590	539	940	1713	347	5565
07215f_contigs.fa	1900193	15	126679.53	457936	602	231	3	366077	3	245514	4	136988	6
072fdf_contigs.fa	1878426	12	156535.50	441443	1318	863	5	358705	3	228638	4	227900	5
075d49_contigs.fa	1860554	9	206728.22	811444	1915	68	2	407491	2	228362	3	139166	5
07619a_contigs.fa	1909593	13	146891.77	896981	496	0	0	360284	2	240571	3	114363	5
0788ff_contigs.fa	1817270	9	201918.89	1356653	888	311	2	1356653	1	1356653	1	93791	4
07a024_contigs.fa	1843683	6	307280.50	1018088	2802	338	1	1018088	1	451402	2	223541	3
07ba85_contigs.fa	1833935	10	183393.50	550278	886	92	3	438409	2	135971	4	112931	7
07dc4c_contigs.fa	1785005	19	93947.63	934969	670	969	5	934969	1	127585	4	60065	7
07df98_contigs.fa	8631378	8089	1067.05	129713	126	14653	162	3358	326	735	1581	344	5250
07eb60_contigs.fa	1972866	16	123304.12	531640	489	499	4	472196	2	232069	4	137531	6
08425c_contigs.fa	2020502	8	252562.75	524411	2170	531	4	494271	2	457158	3	212718	5
084b57_contigs.fa	6894910	5590	1233.44	119170	126	2744	117	7063	168	1087	749	350	3295
086dfc_contigs.fa	1945868	8	243233.50	752650	4570	508	4	462630	2	359239	3	220349	4
08a7da_contigs.fa	1920299	51	37652.92	648848	302	1686	6	470780	2	358080	3	136979	5
08c105_contigs.fa	1876039	10	187603.90	681918	1204	164	2	452899	2	348260	3	230919	4
08ca23_contigs.fa	1928461	7	275494.43	1179399	519	549	4	1179399	1	365687	2	238198	3
08e6e7_contigs.fa	1854737	11	168612.45	657485	532	477	4	448830	2	357829	3	220182	4
09821d_contigs.fa	1917071	10	191707.10	817607	6135	157	3	349214	2	202309	3	98980	6
098225_contigs.fa	1984055	26	76309.81	455551	340	371	5	228860	3	175151	5	102927	8
09b7b4_contigs.fa	1797581	8	224697.62	1361988	472	491	2	1361988	1	1361988	1	117958	3
09d775_contigs.fa	1917686	9	213076.22	656509	385	171	4	588098	2	494470	3	494470	3
0a1347_contigs.fa	1828292	17	107546.59	536417	632	3	3	448731	2	111666	4	67874	8
0a3619_contigs.fa	1925513	21	91691.10	515149	490	63	3	366908	3	125180	4	82534	8
0aa14b_contigs.fa	1813102	19	95426.42	518398	378	73	2	242324	3	172950	4	92440	7
0b03d7_contigs.fa	1852776	16	115798.50	407682	550	591	4	364529	3	265893	4	68112	7
0b2603_contigs.fa	1873582	11	170325.64	1077912	548	345	1	1077912	1	337898	2	130442	4
0b3354_contigs.fa	1871164	10	187116.40	1023345	462	668	2	1023345	1	499230	2	109910	4
0b5326_contigs.fa	1885011	11	171364.64	467044	5024	289	1	232053	3	177742	5	134926	7
0b6333_contigs.fa	1958794	6	326465.67	830901	136180	205	4	333408	2	262832	3	175402	5
0b935e_contigs.fa	1805419	16	112838.69	521885	465	500	2	410759	2	130742	5	90961	8
0bb123_contigs.fa	1971937	21	93901.76	1145161	318	638	6	1145161	1	352543	2	156479	4
0bd948_contigs.fa	1842116	11	167465.09	826828	466	58	1	391422	2	182500	3	125961	5
0bec5a_contigs.fa	1977776	9	219752.89	1151228	408	239	4	1151228	1	535802	2	224182	3
0bec62_contigs.fa	1846601	7	263800.14	643305	1127	217	5	501806	2	467243	3	211093	4
0bf908_contigs.fa	2026876	16	126679.75	454245	302	231	5	356494	3	340707	4	172367	6
0c0cdf_contigs.fa	1959946	6	326657.67	772045	8831	572	5	469891	2	352946	3	220070	4
0c1259_contigs.fa	1904826	5	380965.20	732023	138065	141	3	453207	2	361428	3	220103	4
0c34f7_contigs.fa	1925176	10	192517.60	453775	577	126	2	244376	3	220172	5	134713	7
0c3758_contigs.fa	1974772	24	82282.17	287213	710	178	5	156579	5	114280	8	52914	13
0c4139_contigs.fa	1926347	14	137596.21	470812	686	226	1	347080	3	211205	4	138625	6
0c623d_contigs.fa	1986756	21	94607.43	1159575	325	831	8	1159575	1	352538	2	156496	4
0c81e7_contigs.fa	1852047	6	308674.50	579673	3842	5	3	469658	2	428777	3	232048	4
0c85c0_contigs.fa	1911009	9	212334.33	653860	3826	344	6	521263	2	349655	3	138494	5
0cb53c_contigs.fa	1801022	11	163729.27	1012489	442	73	2	1012489	1	339877	2	106936	5
0cb73e_contigs.fa	1820115	14	130008.21	673141	467	825	3	241833	2	126136	5	97283	8
0d1eb2_contigs.fa	1966360	10	196636.00	593693	574	540	4	521089	2	460642	3	136028	5
0d2b6d_contigs.fa	1995631	16	124726.94	696446	382	442	5	492342	2	362600	3	147964	5
0d2f91_contigs.fa	1903505	19	100184.47	451202	530	313	2	300043	3	173882	5	135217	7
0d4085_contigs.fa	1861039	7	265862.71	1038760	4851	469	3	1038760	1	432445	2	140063	4
0d537f_contigs.fa	1848294	15	123219.60	624201	475	586	3	367523	2	155859	4	97960	7
0d7c39_contigs.fa	2014988	16	125936.75	563542	492	136	2	525008	2	453322	3	137826	5
0d9a9c_contigs.fa	1999460	14	142818.57	828512	308	368	2	702133	2	702133	2	106108	4
0da3ec_contigs.fa	1899553	16	118722.06	455135	716	185	3	242468	3	211073	5	137948	7
0dafc6_contigs.fa	1890103	7	270014.71	633455	64863	159	2	477766	2	239743	3	136920	6
0dc5ed_contigs.fa	1933500	21	92071.43	459909	670	323	3	346683	3	270169	4	138562	6
0e125c_contigs.fa	1927433	8	240929.12	582743	2184	35	2	514570	2	457433	3	221418	4
0e2e26_contigs.fa	1941994	16	121374.62	690473	481	575	4	465998	2	348586	3	136524	5
0eb636_contigs.fa	1953604	16	122100.25	1172129	612	1423	5	1172129	1	352339	2	138407	4
0eea73_contigs.fa	1786078	18	99226.56	549819	342	2	1	354738	2	123415	5	84631	8
0f1da7_contigs.fa	1829689	19	96299.42	536495	550	539	5	448525	2	111851	4	37560	9
0f2f5f_contigs.fa	9240285	8946	1032.90	71779	126	8385	192	2640	429	714	1932	343	5908
0f78f9_contigs.fa	1996074	15	133071.60	1175446	1095	529	4	1175446	1	518851	2	231033	3
0fa071_contigs.fa	1903432	6	317238.67	696666	5101	243	4	579424	2	473323	3	473323	3
0fab8f_contigs.fa	1914698	14	136764.14	658773	368	448	3	587300	2	454598	3	138372	4
0fbd82_contigs.fa	1889190	8	236148.75	691671	4607	410	3	464068	2	358717	3	220558	4
0fcb09_contigs.fa	2048263	26	78779.35	455210	501	199	3	277952	3	220317	5	56012	8
0fe5f5_contigs.fa	1894259	11	172205.36	677185	424	623	6	478665	2	358253	3	133968	5
100ef0_contigs.fa	1844371	12	153697.58	435524	896	71	1	348455	3	227865	4	135658	6
101f79_contigs.fa	1976693	43	45969.60	264054	387	384	1	124309	6	91780	10	34350	17
10535f_contigs.fa	1861161	17	109480.06	509704	460	32	2	470217	2	405416	3	86063	6
107ff9_contigs.fa	1954810	14	139629.29	1175009	612	807	4	1175009	1	351141	2	138414	4
10a5fb_contigs.fa	1939168	13	149166.77	726715	446	69	2	269735	2	149630	5	126073	7
10bf6a_contigs.fa	1926345	12	160528.75	660846	1101	259	5	488756	2	364147	3	222702	4
10d3f2_contigs.fa	1928401	11	175309.18	686009	1290	77	4	464079	2	355028	3	134049	5
112018_contigs.fa	1880143	4	470035.75	1141512	135315	838	5	1141512	1	359120	2	244196	3
116ddc_contigs.fa	1836466	13	141266.62	911736	356	288	3	372441	2	193110	3	117296	5
117dcf_contigs.fa	1855587	11	168689.73	455765	4109	184	3	365119	3	228353	4	211425	5
119a26_contigs.fa	1827273	13	140559.46	917452	355	432	1	917452	1	191852	3	98842	6
11edbb_contigs.fa	1943145	11	176649.55	920512	407	283	4	458893	2	458893	2	134103	4
12472f_contigs.fa	1937479	10	193747.90	825016	974	71	3	377308	2	349341	3	116619	5
1256e9_contigs.fa	2038650	15	135910.00	578349	451	287	4	467203	2	178046	4	137049	6
12b041_contigs.fa	1992380	12	166031.67	696931	489	186	3	498670	2	360818	3	136560	5
12c377_contigs.fa	1890582	4	472645.50	861153	130245	504	4	585108	2	585108	2	314076	3
12fdcb_contigs.fa	1974607	24	82275.29	455162	577	879	6	229636	3	220532	5	135989	7
1331ce_contigs.fa	1926431	14	137602.21	827244	347	0	0	437307	2	182266	3	122090	6
134d0f_contigs.fa	1924294	13	148022.62	860963	475	68	1	437329	2	160634	3	93947	6
13acc9_contigs.fa	1879026	21	89477.43	542348	326	69	2	422054	2	137467	4	88239	8
13b4fd_contigs.fa	2891254	354	8167.38	471928	302	790	8	225946	5	18834	17	3058	98
141d5a_contigs.fa	2180657	189	11537.87	148620	300	583	4	70395	11	45307	18	4684	50
144198_contigs.fa	1783018	14	127358.43	624355	460	438	1	384656	2	173375	4	129679	6
145443_contigs.fa	1832978	11	166634.36	542984	516	878	3	423890	2	408872	3	111236	6
148691_contigs.fa	1857422	10	185742.20	567250	924	1	1	471355	2	291842	3	135315	5
1490bd_contigs.fa	1867383	7	266769.00	663468	4649	91	1	466168	2	360501	3	231765	4
14c05e_contigs.fa	1782999	13	137153.77	548865	362	265	4	438045	2	383898	3	117804	5
14c7a4_contigs.fa	1911189	10	191118.90	650331	346	334	6	465492	2	355822	3	264309	4
14ff0a_contigs.fa	1999212	16	124950.75	680324	455	609	4	361785	2	264530	4	134809	6
152975_contigs.fa	1991078	18	110615.44	829170	414	414	3	692849	2	692849	2	147875	4
1580bd_contigs.fa	1911813	7	273116.14	666356	5431	530	4	478150	2	355328	3	264325	4
158322_contigs.fa	1870440	13	143880.00	1194522	462	431	1	1194522	1	317542	2	178676	3
1589eb_contigs.fa	1870600	10	187060.00	686158	807	413	3	467030	2	347666	3	210226	4
158f01_contigs.fa	1863202	7	266171.71	688889	4334	169	1	455223	2	347972	3	226026	4
15944f_contigs.fa	1951467	22	88703.05	265396	700	1	1	177594	5	152455	7	66450	11
15b32b_contigs.fa	1929287	8	241160.88	701158	816	948	5	466027	2	348760	3	136504	5
15d28a_contigs.fa	1835579	8	229447.38	819546	2508	153	2	415273	2	229455	3	136165	5
160719_contigs.fa	1934769	9	214974.33	689500	854	210	4	474191	2	355189	3	134804	5
161150_contigs.fa	1864909	7	266415.57	661314	1496	128	3	464701	2	371701	3	221077	4
16368c_contigs.fa	1837150	13	141319.23	486348	876	0	0	461367	2	352030	3	107905	6
1669a1_contigs.fa	1807169	9	200796.56	549813	557	641	3	492751	2	376338	3	111139	5
168a53_contigs.fa	1884619	16	117788.69	681790	694	214	3	459968	2	347076	3	211216	4
16cdf9_contigs.fa	2066681	382	5410.16	556982	300	1188	5	172152	3	115289	6	21455	13
16ce56_contigs.fa	1948643	18	108257.94	453252	345	261	2	295380	3	210178	5	137746	7
173210_contigs.fa	1896766	9	210751.78	518074	4200	216	4	458120	2	364830	3	187409	5
174883_contigs.fa	1974720	13	151901.54	457025	2178	1	1	334520	3	180451	5	135867	7
17608c_contigs.fa	1782707	10	178270.70	1006144	412	0	0	1006144	1	353625	2	119591	4
178300_contigs.fa	1985940	17	116820.00	488938	619	290	4	298467	3	211082	4	170640	6
179b6d_contigs.fa	1818963	12	151580.25	534197	812	75	2	497507	2	135587	4	105332	7
179bbb_contigs.fa	3186341	450	7080.76	481553	300	1048	13	159271	6	35410	15	4264	75
17b791_contigs.fa	2082412	12	173534.33	821603	2521	501	3	410133	2	304090	3	143124	5
17bc6a_contigs.fa	2253997	463	4868.24	88783	302	5089	22	38182	19	16084	35	1400	153
17c8b8_contigs.fa	1912929	9	212547.67	666319	310	724	4	478058	2	355319	3	264277	4
184d6c_contigs.fa	1857815	9	206423.89	1425011	525	109	2	1425011	1	1425011	1	118035	3
18db48_contigs.fa	1880359	5	376071.80	1142723	5451	474	3	1142723	1	359141	2	237887	3
18fab7_contigs.fa	1936254	17	113897.29	456224	317	80	1	347763	3	327441	4	220074	5
194888_contigs.fa	3853310	611	6306.56	77253	362	791	4	19491	57	10221	112	3069	240
19993c_contigs.fa	1873491	10	187349.10	563098	1721	74	1	466051	2	309550	3	171619	5
19de91_contigs.fa	1832765	10	183276.50	537437	506	852	3	423688	2	408987	3	139411	5
19e15c_contigs.fa	1911928	18	106218.22	702828	645	815	4	458442	2	349455	3	216971	4
19fa04_contigs.fa	1905480	7	272211.43	709538	5395	260	5	457253	2	354292	3	232432	4
1a21f0_contigs.fa	1828132	22	83096.91	447826	472	53	4	265890	3	113333	5	40116	9
1a6d78_contigs.fa	1868479	11	169861.73	453800	577	142	2	229566	3	174946	5	134724	7
1ab0fe_contigs.fa	1789689	16	111855.56	546107	437	133	4	478877	2	128477	4	66417	8
1ae42e_contigs.fa	1883657	12	156971.42	455746	751	308	2	350649	3	238213	4	228063	5
1b227b_contigs.fa	1926868	19	101414.11	637939	315	371	2	464010	2	429506	3	93757	5
1b2d5c_contigs.fa	1885217	4	471304.25	1146080	135316	300	6	1146080	1	358378	2	245443	3
1b79f7_contigs.fa	1935029	16	120939.31	673684	352	408	4	477059	2	358484	3	142482	5
1b811a_contigs.fa	1943509	27	71981.81	542254	301	68	1	253861	3	150509	5	61943	8
1b8bbc_contigs.fa	1905916	11	173265.09	657355	390	671	5	459466	2	348938	3	138489	5
1b8cd3_contigs.fa	1836884	9	204098.22	645254	4586	290	1	467833	2	354129	3	136950	5
1ba5d2_contigs.fa	1961979	24	81749.12	465439	465	249	4	360741	3	226293	4	136583	6
1bd908_contigs.fa	1912754	11	173886.73	657261	395	392	6	460029	2	353967	3	138328	5
1bda82_contigs.fa	1875844	14	133988.86	879483	476	0	0	357133	2	202089	3	118524	5
1bdc80_contigs.fa	2118028	22	96274.00	634200	338	375	7	620350	2	428177	3	86000	5
1c2cfc_contigs.fa	1936159	13	148935.31	823692	348	128	3	663974	2	663974	2	133935	4
1c55d3_contigs.fa	1958285	25	78331.40	471712	315	640	4	360303	3	229616	4	138489	6
1c9b50_contigs.fa	2613578	1195	2187.09	849416	126	601	27	245414	3	74424	6	534	513
1ccbb8_contigs.fa	1889680	9	209964.44	698983	403	49	3	452506	2	354868	3	231689	4
1ce6c1_contigs.fa	1909013	15	127267.53	457267	363	265	2	348975	3	219521	4	138468	6
1d0974_contigs.fa	1943613	7	277659.00	572556	3890	282	4	461367	2	414177	3	329030	4
1d0f97_contigs.fa	1884446	12	157037.17	681218	569	890	5	461212	2	349923	3	211114	4
1d598b_contigs.fa	1899481	8	237435.12	1038872	363	71	2	1038872	1	440684	2	122655	4
1d68c1_contigs.fa	1884086	16	117755.38	681528	958	310	2	459832	2	347074	3	211209	4
1d6e4b_contigs.fa	1979444	21	94259.24	453868	317	588	5	350066	3	219723	4	138454	6
1d7236_contigs.fa	1846139	14	131867.07	604977	768	138	6	385465	2	150183	4	105965	6
1dc4a8_contigs.fa	1926588	10	192658.80	697840	7055	235	5	459195	2	366662	3	136980	5
1e3084_contigs.fa	1973711	11	179428.27	1056371	389	450	5	1056371	1	477545	2	136650	4
1e63ec_contigs.fa	1918179	25	76727.16	556201	394	548	3	261329	3	140829	5	35484	9
1ef0a7_contigs.fa	1896049	11	172368.09	706428	693	364	3	459318	2	347124	3	136023	5
1f0c21_contigs.fa	1954978	20	97748.90	476775	418	686	6	350766	3	170425	4	59475	7
1f4b34_contigs.fa	1985924	9	220658.22	458997	2318	161	4	355000	3	346549	4	138065	6
1f597b_contigs.fa	1899220	7	271317.14	461471	8330	128	3	455000	3	455000	3	358846	4
1f8692_contigs.fa	1971850	26	75840.38	575249	323	658	5	455748	2	215880	4	137692	6
1f8ba5_contigs.fa	1959329	12	163277.42	746161	816	305	4	460879	2	349998	3	216995	4
1fa4b9_contigs.fa	1893604	24	78900.17	659401	434	625	5	429048	2	358398	3	133924	5
1fa86f_contigs.fa	1994500	15	132966.67	702125	507	615	4	500183	2	447514	3	241790	4
1fa8ac_contigs.fa	2025038	24	84376.58	457620	336	279	5	347764	3	168106	5	60942	8
1fa9e6_contigs.fa	3821752	46	83081.57	594192	449	745	6	322885	5	189519	8	57615	14
2031b9_contigs.fa	1940387	11	176398.82	1441708	381	75	1	1441708	1	1441708	1	117569	4
2067e0_contigs.fa	1864764	8	233095.50	679805	3839	626	3	457362	2	358608	3	220106	4
20d7c4_contigs.fa	1843908	10	184390.80	646100	400	136	2	473410	2	349114	3	136981	5
20d7fa_contigs.fa	1917665	12	159805.42	454735	376	148	3	355327	3	219983	4	138941	6
20e388_contigs.fa	1952591	22	88754.14	332572	756	0	0	154652	5	111493	8	70003	12
20ea00_contigs.fa	1970518	14	140751.29	531130	498	250	3	528533	2	357344	3	158872	5
213fac_contigs.fa	1788518	12	149043.17	536490	496	449	2	497507	2	288647	3	119861	5
215e68_contigs.fa	1951895	18	108438.61	696548	632	970	5	456562	2	359990	3	135634	5
21a0fa_contigs.fa	1808354	9	200928.22	1032575	408	9	1	1032575	1	393072	2	110640	4
21f831_contigs.fa	1925223	15	128348.20	466358	767	341	2	318837	3	214099	4	137254	7
2216b4_contigs.fa	1886225	17	110954.41	682699	474	144	3	461522	2	347324	3	211192	4
221ef2_contigs.fa	1878917	5	375783.40	1041655	60940	28	1	1041655	1	477882	2	137004	4
22a1c4_contigs.fa	1958422	16	122401.38	686445	655	682	7	465865	2	360492	3	141007	5
22a541_contigs.fa	1974711	23	85857.00	455464	558	777	6	229635	3	220300	5	135972	7
22d5ef_contigs.fa	2056317	15	137087.80	591483	634	89	2	273529	3	235314	5	92230	7
22e02b_contigs.fa	1886228	16	117889.25	391304	345	164	3	291238	3	135862	6	68946	9
22e187_contigs.fa	1942617	7	277516.71	757819	3392	138	2	461192	2	347491	3	225897	4
231dd2_contigs.fa	1934534	24	80605.58	459924	491	372	2	271601	3	206605	5	138583	7
23b5c6_contigs.fa	1925661	18	106981.17	462347	358	626	4	359662	3	211105	4	135607	6
23c2de_contigs.fa	2197308	14	156950.57	907284	1148	137	2	363271	2	317200	3	131955	6
23ca91_contigs.fa	1878831	20	93941.55	556378	460	75	2	440304	2	157741	4	85065	8
240741_contigs.fa	1910184	13	146937.23	468476	674	329	5	366589	3	228354	4	216942	5
244fda_contigs.fa	1858594	10	185859.40	829875	525	144	2	428456	2	228491	3	220984	4
2483f5_contigs.fa	2020461	14	144318.64	504627	301	851	6	490969	3	490969	3	234404	5
248e20_contigs.fa	1833721	10	183372.10	988009	747	51	1	988009	1	364763	2	111068	5
249336_contigs.fa	1906800	20	95340.00	542369	471	51	1	457972	2	130331	5	84452	8
24a22f_contigs.fa	1861068	9	206785.33	1192533	405	0	0	1192533	1	338101	2	148602	3
24b9ea_contigs.fa	1992735	14	142338.21	586248	471	309	5	456844	2	206204	4	138434	6
24e780_contigs.fa	1855151	12	154595.92	661688	447	220	3	451135	2	349959	3	220167	4
24e871_contigs.fa	9181210	9229	994.82	88895	126	11831	148	2640	462	674	1993	332	6155
24f185_contigs.fa	1889887	10	188988.70	869530	368	100	2	391446	2	182466	3	125393	5
24fdac_contigs.fa	1902611	13	146354.69	687516	911	21	1	470694	2	357459	3	137523	5
2520b2_contigs.fa	1904935	5	380987.00	1145284	5451	971	5	1145284	1	355098	2	264265	3
257f43_contigs.fa	1953206	7	279029.43	826796	733	216	3	403556	2	301688	3	135982	5
258a47_contigs.fa	1881646	12	156803.83	492944	522	61	1	469449	2	207631	4	158737	6
25ab8d_contigs.fa	1854999	7	264999.86	1083069	454	0	0	1083069	1	347177	2	132780	4
25ad74_contigs.fa	1858536	11	168957.82	682705	326	71	1	392484	2	374519	3	126095	5
260758_contigs.fa	1862494	14	133035.29	544241	486	827	3	468706	2	168561	4	110946	6
263231_contigs.fa	1843945	9	204882.78	664201	896	312	2	451294	2	348434	3	223410	4
26361d_contigs.fa	1787576	10	178757.60	640068	448	132	3	456141	2	356335	3	118075	5
263a1a_contigs.fa	1869846	11	169986.00	1194177	443	431	1	1194177	1	297873	2	66842	4
26421a_contigs.fa	1835532	11	166866.55	1011734	365	286	4	1011734	1	359071	2	117380	5
264421_contigs.fa	1911384	14	136527.43	1004938	781	0	0	1004938	1	503648	2	114660	4
266261_contigs.fa	1812168	13	139397.54	1009416	475	0	0	1009416	1	388543	2	115065	4
267d76_contigs.fa	1868077	10	186807.70	639360	461	477	4	459210	2	365457	3	360349	4
268f0d_contigs.fa	1851445	16	115715.31	408257	770	339	1	375215	3	146572	4	66492	7
278e43_contigs.fa	1881614	19	99032.32	801648	361	0	0	362956	2	182788	3	106192	6
27ab6a_contigs.fa	1936403	12	161366.92	493117	400	451	4	352425	3	319495	4	263002	5
27f523_contigs.fa	1930375	16	120648.44	810111	751	142	2	443330	2	211098	3	137861	5
2850e9_contigs.fa	1936676	18	107593.11	455660	512	246	4	350267	3	229394	4	140457	6
28702f_contigs.fa	1892143	17	111302.53	564139	406	75	2	171581	3	121256	5	77174	9
289895_contigs.fa	1905229	7	272175.57	1013686	6465	224	6	1013686	1	457303	2	138361	4
28bd67_contigs.fa	1838683	7	262669.00	832186	2569	289	1	577409	2	577409	2	136989	4
28cb3f_contigs.fa	1900861	17	111815.35	658935	469	703	5	470241	2	358803	3	237780	4
28ffcf_contigs.fa	1968565	22	89480.23	500708	309	514	4	244164	3	169332	5	96175	7
29443f_contigs.fa	1898225	12	158185.42	944099	433	467	2	597261	2	597261	2	184136	3
29cd38_contigs.fa	2029000	21	96619.05	453957	751	843	4	350058	3	232107	4	59102	7
29f9e1_contigs.fa	1944859	12	162071.58	1147344	988	555	4	1147344	1	354790	2	132163	4
29fb3d_contigs.fa	1846049	9	205116.56	473305	3004	230	3	361416	3	228104	4	136984	6
2a154e_contigs.fa	1797562	13	138274.00	557981	818	64	2	496658	2	260681	3	84814	6
2a5e81_contigs.fa	1890036	15	126002.40	453197	751	393	3	349167	3	231297	4	138400	6
2abcd2_contigs.fa	1915482	6	319247.00	840322	445	274	6	495441	2	321539	3	256282	4
2ac9ff_contigs.fa	1960369	27	72606.26	328781	486	21	2	151946	5	111615	7	59379	13
2ae166_contigs.fa	1864524	6	310754.00	679957	8349	167	3	457168	2	364224	3	220118	4
2b18ca_contigs.fa	2015380	11	183216.36	461438	686	347	4	303667	3	303053	4	177374	6
2b34a7_contigs.fa	1812756	11	164796.00	927782	886	375	2	927782	1	411775	2	62078	5
2b4a79_contigs.fa	1976833	20	98841.65	463709	394	497	5	297792	3	182733	5	133972	7
2bac28_contigs.fa	1952407	17	114847.47	691654	636	935	6	456517	2	359998	3	135626	5
2bbac2_contigs.fa	1866082	15	124405.47	557207	356	0	0	268816	3	198088	4	110964	6
2bed20_contigs.fa	1893357	22	86061.68	419789	472	80	1	307794	3	111027	5	51401	9
2bf75b_contigs.fa	1905134	14	136081.00	658478	475	287	2	462443	2	348380	3	136360	5
2c1808_contigs.fa	1911633	15	127442.20	707303	300	796	4	464467	2	360077	3	221081	4
2c2ae7_contigs.fa	1780380	14	127170.00	694862	332	69	1	356343	2	129966	4	102082	7
2c2d6c_contigs.fa	1974732	14	141052.29	826920	515	360	6	243969	2	214543	4	136957	6
2c334a_contigs.fa	1844278	16	115267.38	600564	3690	73	1	363444	2	126838	5	53217	8
2c6b75_contigs.fa	8438444	8126	1038.45	119171	126	7321	162	3432	304	697	1581	337	5327
2c8f2d_contigs.fa	1774145	7	253449.29	991616	922	11	1	991616	1	363535	2	131291	4
2cdb30_contigs.fa	1922792	5	384558.40	1185084	5451	374	4	1185084	1	357131	2	239852	3
2cf374_contigs.fa	1900320	15	126688.00	664852	441	231	3	444089	2	223161	3	81373	7
